nom;ville;abonnes_in;poste;date
PRIME ENGINEERING;Grenoble;95376;Ingénieur Développement Bas Niveau Ethernet F/H;02/02/2026
Constellium;Voreppe;73406;IT Digital Developer Europe;il y a 2 semaines
ALTEN;Grenoble;1251198;Ingénieur MLOPS (H/F);NaN
CNS Worldwide Executive Search;Grenoble;NaN;Ingénieur logiciel & traitement des données - Equipements Scientifiques H/F;il y a 5 jours
Qonto;Paris;France;Senior Machine Learning Engineer for AI Product;02/02/2026
NVIDIA;A distance;4784917;Solution Architect - AI Factory;11/02/2026
Qonto;Paris;France;Senior Machine Learning Engineer for AI Product;02/02/2026
Smile;Grenoble;Auvergne-Rhone-Alpes;Tech Lead Linux Embarqué H/F;il y a 2 jours
ALTEN;Grenoble;1251198;Ingénieur MLOPS (H/F);NaN
Constellium;Voreppe;73406;IT Digital Developer Europe;il y a 2 semaines
